Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado
2010;2010/12;07.627.251/0001-40;FUTURA CONSTRUTORA E INCORPORADORA LTDA;THE PLACE RESID.-RUA Nº 216, Nº 233;88220-000;MEIA PRAIA;Itapema;Santa Catarina
2009;2009/07;07.898.366/0001-79;FUTURE SPORT IND. E COM. DE CONFEC. LTDA;RUA PADRE MARIO LABARBUTA,574;88804-690;PINHEIRINHO;Criciúma;Santa Catarina
2009;2009/04;08.829.140/0001-89;FUTURITTY SUPERMERCADO LTDA.;RUA CORONEL ALBUQUERQUE,409;89460-000;CENTRO;Canoinhas;Santa Catarina
2012;2012/05;06.256.066/0001-23;FUTURIZE AUTOM INDL LTDA;AVENIDA UNIVERSITARIA,555;88806-000;UNIVERSITARIO;Criciúma;Santa Catarina
2012;2012/05;06.256.066/0001-23;FUTURIZE AUTOM INDL LTDA;AVENIDA UNIVERSITARIA,555;88806-000;UNIVERSITARIO;Criciúma;Santa Catarina
2009;2009/06;06.256.066/0001-23;FUTURIZE AUTOMOCAO INDUSTRIAL LTDA  EPP;AV UNIVERSITARIA, 555;88806-000;UNIVERSITARIO;Criciúma;Santa Catarina
2010;2010/03;00.506.583/0001-27;FUTURO EMPREENDIMENTOS IMOBILIARIOS LTDA;RUA QUINTINO BOCAIUVA,64;89251-680;CENTRO;Jaraguá do Sul;Santa Catarina
2010;2010/09;10.794.046/0001-83;FUTURTEK DO BRASIL - COMERCIO DE ARTIGOS ELETRONICOS PA;SANTOS SARAIVA, 1180;SI;Sem Informação;Florianópolis;Santa Catarina
2012;2012/02;10.468.859/0001-83;FUXICOS E COMIDAS LTDA;AV PORTO NOVO S/NR;88780-000;PRAIA DO ROSA;Imbituba;Santa Catarina
2011;2011/02;10.468.859/0001-83;FUXICOS E COMIDAS LTDA.;AV. PORTO NOVO, S/N;88780-000;PRAIA DO ROSA;Imbituba;Santa Catarina
2011;2011/12;05.240.604/0001-29;FUZZO METALURGICA ESQUADRIAS E VIDRACARIA LTDA ME;RUA ARACAJU, 880;89870-000;CENTRO;Pinhalzinho;Santa Catarina
2009;2009/12;10.379.045/0001-72;FVS - FAST FOOD DE COMIDA MEXICANA LTDA. ME;RUA SETE DE SETEMBRO, 1.213, LOJA 32;89010-203;CENTRO;Blumenau;Santa Catarina
2011;2011/08;10.339.739/0001-86;FW INDUSTRIA E COM DE PROD HIGIENE LTDA;DR PEDRO ZIMMERMANN 9912;89069-001;ITOUPAVA CENTRAL;Blumenau;Santa Catarina
2009;2009/07;07.610.007/0001-74;FWE IND. E COM. DE RACOES LTDA ME;RUA JOAO BIANCHINI, 3657;88750-000;BELA VISTA;Braço do Norte;Santa Catarina
2011;2011/09;09.017.347/0001-11;FWG INDUSTRIA DE FERRAMENTAS LTDA ME;RUA SAO MIGUEL,21;89254-305;ESTRADA NOVA;Jaraguá do Sul;Santa Catarina
2012;2012/04;09.017.347/0001-11;FWG INDUSTRIA DE FERRAMENTAS LTDA ME;RUA SAO MIGUEL,21;89254-305;ESTRADA NOVA;Jaraguá do Sul;Santa Catarina
2011;2011/02;10.478.757/0001-49;FWT BUTIQUE LTDA ME;RUA BOCAIUVA,2468;88015-530;CENTRO;Florianópolis;Santa Catarina
2010;2010/12;08.632.935/0001-00;G & C COMERCIO DE CONFECCOES LTDA ME;R DOM ARNOLDO PEDRO MEIRA,547;88111-370;IPIRANGA;São José;Santa Catarina
2008;2008/09;79.943.601/0001-98;G & G INDUSTRIA E COM. DE PAPÉIS LTDA  EPP;ROD_SC 408;88240-000;CENTRO;São João Batista;Santa Catarina
2008;2008/12;09.525.818/0001-00;G & R PROMOçõES EVENTOS PUBLICIDADE E PROPAGANDA LTDA;R. LAELIA PURPURATA, 74;88032-000;JOãO PAULO;Florianópolis;Santa Catarina
2009;2009/11;04.076.841/0001-33;G A BALDISSERA COMERCIO AUTOMOVEIS LTDA;AVENIDA PRESIDENTE KENNEDY,1005;88102-401;CAMPINAS;São José;Santa Catarina
2011;2011/04;04.076.841/0001-33;G A BALDISSERA COMERCIO AUTOMOVEIS LTDA;RUA VICTOR MEIRELES, 600 - SALAS 503 E 505;88100-000;CAMPINAS;São José;Santa Catarina
2010;2010/03;08.865.030/0001-72;G A CAR AUTO MECANICA LTDA;RUA BERTHA WEEGE,877;89260-500;BARRA DO RIO CERRO;Jaraguá do Sul;Santa Catarina
2010;2010/10;05.419.132/0001-76;G A CONSTRUTORA E INCORPORADORA LTDA;R IZIDORO CAETANO , 152;88330-000;PIONEIROS;Balneário Camboriú;Santa Catarina
2009;2009/02;04.560.782/0009-21;G A P C GRUPO DE APOIO A PESSOAS COM CANCER;BRASILPINHO, 116;88102-300;KOBRASOL;São José;Santa Catarina
2009;2009/02;04.560.782/0028-94;G A P C GRUPO DE APOIO A PESSOAS COM CANCER;RUA TIJUCAS, 80 E;89801-307;PRESIDENTE MEDICI;Chapecó;Santa Catarina
2010;2010/11;79.231.379/0001-09;G BARATTO & CIA LTDA ME;RUA MARECHAL BORMANN,171;89802-120;CENTRO;Chapecó;Santa Catarina
2010;2010/05;79.231.379/0001-09;G BARATTO & CIA LTDA ME;RUA MARECHAL BORMANN,171;89802-120;CENTRO;Chapecó;Santa Catarina
2011;2011/11;02.476.488/0001-53;G E A ASSOCIADOS SOCIEDADE SIMPLES LTDA;AV BARAO DO RIO BRANCO,461;88136-200;CENTRO;Palhoça;Santa Catarina
2010;2010/10;03.935.415/0001-45;G E A GERENCIAMENTO E ENGENHARIA LTDA;R. 234 , Nº 95 EDIFICIO PLACE L'ETOILE;88220-000;MEIA PRAIA;Itapema;Santa Catarina
2010;2010/06;05.316.157/0001-44;G F CONSTRUTORA E INCORPORADORA LTDA;OBRA GASPAR;89110-000;GASPAR GRANDE;Gaspar;Santa Catarina
2009;2009/12;04.192.417/0002-35;G GABRIEL COM DE PROD ALIMENTIC LTDA ME;RUA 2870,701;88330-360;CENTRO;Balneário Camboriú;Santa Catarina
2012;2012/03;03.916.429/0001-11;G H POCOS ARTESIANOS LTDA ME;AV NEREU RAMOS, 1401-E;89801-021;CENTRO;Chapecó;Santa Catarina
2008;2008/07;07.426.404/0001-90;G I J BEDIN SERVICOS DE LIMPEZA LTDA ME;AV. MADRE BENVENUTA, 340;88036-500;TRINDADE;Florianópolis;Santa Catarina
2009;2009/08;07.426.404/0001-90;G I J BEDIN SERVICOS DE LIMPEZA LTDA ME;ROD SC 401,4820;88032-000;SACO GRANDE;Florianópolis;Santa Catarina
2008;2008/11;07.426.404/0001-90;G I J BEDIN SERVICOS DE LIMPEZA LTDA ME;ROD SC 401,5283;88058-000;SACO GRANDE;Florianópolis;Santa Catarina
2010;2010/08;07.426.404/0001-90;G I J BEDIN SERVICOS DE LIMPEZA LTDA ME;ROD SC 401,5283;88058-000;SACO GRANDE;Florianópolis;Santa Catarina
2010;2010/05;07.426.404/0001-90;G I J BEDIN SERVICOS DE LIMPEZA LTDA ME;ROD SC 401,5283;88058-000;SACO GRANDE;Florianópolis;Santa Catarina
2012;2012/03;07.426.404/0001-90;G I J BEDIN SERVICOS DE LIMPEZA LTDA ME;RUA JOãO GONZAGA DA COSTA, 636;88032-010;SACO GRANDE;Florianópolis;Santa Catarina
2009;2009/06;07.792.590/0001-81;G M A TEXTIL DO BRASIL LTDA;RUA RODOVIA BR 280 KM 51, 7788;89270-000;AVAI;Guaramirim;Santa Catarina
2010;2010/03;03.888.580/0002-74;G M COM DE ALIMENTOS LTDA EPP;AV. SANTA CATARINA 01, LOJA 8;88339-005;ESTADOS;Balneário Camboriú;Santa Catarina
2011;2011/10;11.991.652/0001-51;G M SERVICOS LTDA;R JOSE LUIS MAXIMO PEREIRA , 320;88375-000;S DOMINGOS;Navegantes;Santa Catarina
2010;2010/10;10.461.057/0001-41;G MACHADO VIDEOLOCADORA LTDA ME;RUA CORONEL PEDRO DEMORO 1913;88075-970;ESTREITO;Florianópolis;Santa Catarina
2011;2011/04;05.209.379/0001-68;G MADEIRAS INDUSTRIA E COMERCIO LTDA;RUA TRES PORTOS 340;89150-000;PINHEIRO;Presidente Getúlio;Santa Catarina
2009;2009/10;05.209.379/0001-68;G MADEIRAS INDUSTRIA E COMERCIO LTDA EPP;RUA TRES PORTOS,340;89150-000;PINHEIRO;Presidente Getúlio;Santa Catarina
2010;2010/09;02.512.239/0001-76;G PORT SERVIÇOS E COM. EXTERIOR LTDA.;RUA ANITA GARIBALDI, 442;88303-020;CENTRO;Itajaí;Santa Catarina
2011;2011/09;06.991.531/0001-70;G POWER COMERCIO DE AUTO PECAS LTDA ME;RUA DA INDEPENDENCIA,1781;88113-280;BARREIROS;São José;Santa Catarina
2012;2012/02;04.627.004/0001-55;G R COMERCIO DE GENEROS ALIMENTICIOS LTDA.;AV LISBOA S/N;88107-350;FORQUILHAS;São José;Santa Catarina
2012;2012/03;00.571.105/0001-09;G R E S ALIANCA;RUA TIRADENTES,500;89600-000;CENTRO;Joaçaba;Santa Catarina
2012;2012/03;00.571.105/0001-09;G R E S ALIANCA;RUA TIRADENTES,500;89600-000;CENTRO;Joaçaba;Santa Catarina
2008;2008/07;02.905.110/0093-46;G R SA;R. EMANUEL EVALDO MULLER , 2827;88375-000;MACHADOS;Navegantes;Santa Catarina
2010;2010/06;01.478.421/0001-95;G T LIMPEZA LTDA;RUA MAL FLORIANO PEIXOTO, 498 O;89800-000;CENTRO;Chapecó;Santa Catarina
2009;2009/09;02.476.488/0001-53;G&A ASSOCIADOS SOCIEDADE SIMLES LTDA.;AAV. BARãO DO RIO BRANCO, 461;88100-000;CENTRO;São José;Santa Catarina
2012;2012/03;09.525.818/0001-00;G&R PROMOCOES,EVENTOS,PUBL.E PROPAG.LTDA;R: LAELIA PURPURATA, 74;88030-354;JOAO PAULO;Florianópolis;Santa Catarina
2012;2012/03;08.273.025/0002-51;G. BLIND COMERCIO VAREJISTA LTDA. - ME;AVENIDA NEREU RAMOS FRENTE A PANIF ITAPOÃ;88220-000;MEIA PRAIA;Itapema;Santa Catarina
2012;2012/05;10.805.024/0001-71;G. CASAROTTO & CIA LTDA ME;SC 401,17900;88052-840;CANASVIEIRAS;Florianópolis;Santa Catarina
2011;2011/10;10.805.024/0001-71;G. CASAROTTO & CIA LTDA ME;SC 401,17900;88052-840;CANASVIEIRAS;Florianópolis;Santa Catarina
2012;2012/01;83.309.393/0001-47;G. F. VICENZI;RUA DEZ DE NOVEMBRO 1230,1210;89825-000;CENTRO;Xaxim;Santa Catarina
2009;2009/04;06.213.986/0001-64;G. GOULART CALCADOS LTDA;  ERNESTO BEUTER 891;89990-000;_CENTRO;São Lourenço do Oeste;Santa Catarina
2010;2010/10;09.611.555/0001-44;G. MEDEIROS CONSTRUTORA E INCORPPORADORA LTDA;RUA PALESTINA ESQ. PERU;88330-000;NAçõES;Balneário Camboriú;Santa Catarina
2011;2011/02;11.043.673/0001-45;G. PEREIRA HOTéIS LTDA ME;AV. NEREU RAMOS, 670;88380-000;CENTRO;Balneário Piçarras;Santa Catarina
2010;2010/08;05.419.132/0001-76;G.A. CONSTRUTORA E INCORPORADORA LTDA;ED.ÁGUAS DO IGUAçú-R.BRUNO SILVA/ISIDORO CAETANO;88330-000;PIONEIROS;Balneário Camboriú;Santa Catarina
2008;2008/12;04.393.712/0001-79;G.BIM COM. E DISTR. MÓVEIS P/ESCRITÓRIO LTDA.;RUA GUMERCINDO FERREIRA, 46;88090-810;CAPOEIRAS;Florianópolis;Santa Catarina
2010;2010/10;10.702.689/0001-50;G.E. CONSTRUTORA LTDA;RUA JOAO RIBEIRO BRANCO;88508-160;SAGRADO COR. JESUS;Lages;Santa Catarina
2008;2008/08;08.475.364/0005-63;G.M.P. COM E REPRES. LTDA;AV. STA CATARINA 01 SALAS 43-45;88330-000;CENTRO;Balneário Camboriú;Santa Catarina
2010;2010/06;51.314.375/0001-67;G.P. SERVICOS GERAIS LTDA;RODOVIA VIRGILIO VARZEA, 588;88034-000;SACO GRANDE;Florianópolis;Santa Catarina
2011;2011/03;80.113.525/0001-72;G.S. IND.COM. ARTEFATOS DE BORRACHA LTDA;SERVIDAO S-231,2601 - LATERAL R PREF JOSE BAUER;89254-100;TRES RIOS SUL;Jaraguá do Sul;Santa Catarina
2011;2011/12;58.289.828/0001-91;G.S.COMERCIO E REPRESENTAÇÃO DE MADEIRA LTDA;ROD. SC 422 Nº 1200;89295-000;SÃO PEDRO;Rio Negrinho;Santa Catarina
2010;2010/09;02.035.967/0001-34;G.W. FERRAMENTARIA LTDA ME;ESTRADA DA ILHA,267;89239-250;PIRABEIRABA;Joinville;Santa Catarina
2011;2011/04;02.035.967/0001-34;G.W. FERRAMENTARIA LTDA ME;ESTRADA DA ILHA,267 BLOCO D;89239-250;PIRABEIRABA;Joinville;Santa Catarina
2009;2009/10;04.167.644/0001-20;G13 MADEIRAS LTDA;AVENIDA JOSE PRACHTHAUSER,225;89150-000;CENTRO;Presidente Getúlio;Santa Catarina
2011;2011/04;04.167.644/0001-20;G13 MADEIRAS LTDA;AVENIDA JOSE PRACHTHAUSER,225;89150-000;CENTRO;Presidente Getúlio;Santa Catarina
2010;2010/08;10.266.733/0001-26;G2 ALIMENTOS LTDA ME;RUA DOMINGOS JOSE CABRAL,355;88301-260;FAZENDA;Itajaí;Santa Catarina
2008;2008/11;03.181.653/0001-02;G2 RESTAURANTE LTDA;3ª AVENIDA, 1122 - AV ALBERTO S DUMONT, 1122;88330-000;CENTRO;Balneário Camboriú;Santa Catarina
2010;2010/06;07.935.879/0001-02;G2J INDBRAS IND COM PECAS AUTOMOTLTDA M;RUA ANA DUARTE,55;88355-368;BATEAS;Brusque;Santa Catarina
2012;2012/03;10.270.039/0001-82;G3 AUTO CENTER MECANICA EM GERAL LTDA ME;AVENIDA DEPUTADO ANTONIO EDU VIEIRA,1776;88040-001;PANTANAL;Florianópolis;Santa Catarina
2010;2010/09;10.270.039/0001-82;G3 AUTO CENTER MECANICA EM GERAL LTDA ME;DEPUTADO ANTONIO EDU VIEIRA, 1776;88040-001;PANTANAL;Florianópolis;Santa Catarina
2011;2011/11;12.226.761/0001-45;G3 INDUSTRIA DE MOVEIS LTDA EPP;RUA RIO SENA 50;88340-000;RIO PEQUENO;Camboriú;Santa Catarina
2009;2009/01;Sem Informação;G4;RUA MACAPá;SI;ANITA GARIBALDI, S/N;Joinville;Santa Catarina
2010;2010/09;08.897.220/0001-71;G7 INDUSTRIA E COMERCIO DE MOVEIS LTDA;ROD BR 280 4433;89295-000;INDL NORTE;Rio Negrinho;Santa Catarina
2010;2010/08;08.897.220/0001-71;G7 INDUSTRIA E COMERCIO DE MOVEIS LTDA;ROD BR 280 4433;89295-000;INDL NORTE;Rio Negrinho;Santa Catarina
2010;2010/10;05.419.132/0001-76;GA CONSTRUTORA E INCORPORADORA LTDA.;RUA BRUNO SILVA, S/N;88330-000;PIONEIROS;Balneário Camboriú;Santa Catarina
2010;2010/08;01.506.343/0001-95;GABARITO CONSTRUCOES LTDA;OBRA RUA SãO LUIZ, S/N;89204-630;AMERICA;Joinville;Santa Catarina
2010;2010/03;01.806.839/0001-84;GABILIA TRANSPORTES LTDAEPP;ROD BR 470 KM 53,2933 - FUNDOS;89065-800;SALTO DO NORTE;Blumenau;Santa Catarina
2011;2011/07;02.655.842/0001-07;GABIVEL VEíCULOS;MARQUêS DE OLINDA, 1945;89219-025;COSTA E SILVA;Joinville;Santa Catarina
2010;2010/09;02.655.842/0001-07;GABIVEL VEICULOS LTDA;AVE MARQUES DE OLINDA,1744;89218-250;AMERICA;Joinville;Santa Catarina
2011;2011/03;83.111.716/0001-93;GABOARDI INDUSTRIAL DE MADEIRAS LTDA;LOURENCO FRANCA PEREIRA, 500;89533-000;CENTRO;São Cristovão do Sul;Santa Catarina
2011;2011/05;00.494.412/0001-25;GABRI MOVEIS LTDA ME;RUA CANDIDO NEGRI E FILHO,146;89825-000;AREA INDUSTR;Xaxim;Santa Catarina
2011;2011/05;00.494.412/0001-25;GABRI MOVEIS LTDA ME;RUA CANDIDO NEGRI E FILHO,146;89825-000;AREA INDUSTR;Xaxim;Santa Catarina
2010;2010/12;04.483.365/0001-75;GABRIEL DE SOUZA SAES CONF. LTDA ME;RUA SOUZA, 2395;88320-000;MISSõES;Ilhota;Santa Catarina
2010;2010/05;04.483.365/0001-75;GABRIEL DE SOUZA SAES CONFECCOES LTDA ME;RUA SOUZA,2395;88320-000;MISSOES;Ilhota;Santa Catarina
2009;2009/05;02.884.522/0001-29;GABRIEL E CIA LTDA;RUA OTACILIO PADILHA, 46;89820-000;TACCA;Xanxerê;Santa Catarina
2011;2011/08;51.208.81296/88;GABRIEL PEDRO ANACLETO E OUTRO; BARCO LUIS FELIPE  END: DNA FRANCISCA SN;88385-000;SANTA LIDIA;Penha;Santa Catarina
2012;2012/01;07.860.945/0001-22;GABRIEL PRODUTOS CERAMICOS LTDA ME;ESTRADA GERAL MOURA;88230-000;MOURA;Canelinha;Santa Catarina
2008;2008/10;06.960.915/0001-25;GABRIEL SCHEFFER MANARIN ME;RUA CEL MARCOS ROVARIS, 483;88801-100;CENTRO;Criciúma;Santa Catarina
2011;2011/12;40.590.00018/85;GABRIEL VAZ PIRES;R. CAMINHOS DOS ACORES , 1854;88000-000;S ANTONIO DE LISBOA;Florianópolis;Santa Catarina
2009;2009/02;07.655.464/0001-85;GABRIELA AGOSTINHO DE OLIVEIRA ME;ESTRADA GERAL FAROL DE SANTA MARTA, 40;88790-000;FAROL DE SANTA MARTA;Laguna;Santa Catarina
2010;2010/02;07.655.464/0001-85;GABRIELA AGOSTINHO DE OLIVEIRA ME;ESTRADA GERAL FAROL DE SANTA MARTA, 40;88790-000;FAROL DE SANTA MARTA;Laguna;Santa Catarina
2010;2010/06;10.798.044/0001-62;GABRIELA E MARCELLA RESTAURANTE LTDA;RUA ALTAMIRO DI BERNARDI, 65;88101-150;Sem Informação;São José;Santa Catarina
2011;2011/10;13.565.200/0001-33;GABRIELA JOSEFINA DUARTE FERREIRA ME;RUA ESTEVES JUNIOR 50 LOJA 09;88015-130;CENTRO;Florianópolis;Santa Catarina
2012;2012/02;13.565.200/0001-33;GABRIELA JOSEFINA DUARTE FERREIRA ME;RUA ESTEVES JUNIOR, 50;88015-130;CENTRO;Florianópolis;Santa Catarina
2010;2010/11;05.770.149/0001-73;GABRIELA REFRATARIOS LTDA;RODOVIA JORGE LACERDA, KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2012;2012/03;05.770.149/0001-73;GABRIELA REFRATARIOS LTDA;RODOVIA JORGE LACERDA, KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2009;2009/12;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;ROD JORGE LACERDA, S/N - KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2010;2010/04;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;ROD JORGE LACERDA, S/N - KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2010;2010/06;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;ROD JORGE LACERDA, S/N - KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2010;2010/04;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;ROD JORGE LACERDA, S/N - KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2010;2010/03;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;ROD JORGE LACERDA, S/N - KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2008;2008/11;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;RODOVIA JORGE LACERDA;SI;SANGAO;Criciúma;Santa Catarina
2010;2010/11;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;RODOVIA JORGE LACERDA,  S/N. - KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2011;2011/12;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;RODOVIA JORGE LACERDA, KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2011;2011/09;79.406.088/0001-04;GABRIELA REVESTIMENTOS CERAMICOS LTDA;RODOVIA JORGE LACERDA, S/N. - KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2009;2009/03;10.592.850/0001-80;GABRIELA ZUCKI;RUA JOAQUIM AGOSTINHO VIEIRA, 161;88340-000;CENTRO;Camboriú;Santa Catarina
2011;2011/12;10.592.850/0001-80;GABRIELA ZUCKI ME;RUA CEL. BENJAMIN VIEIRA, 57;88340-000;CENTRO;Camboriú;Santa Catarina
2011;2011/12;10.592.850/0001-80;GABRIELA ZUCKI ME;RUA CEL. BENJAMIN VIEIRA, 57;88340-000;CENTRO;Camboriú;Santa Catarina
2008;2008/10;07.105.967/0001-87;GABRIELLA MINERACAO LTDA;ROD JORGE LACERDA, KM 20;88800-000;VERDINHO;Criciúma;Santa Catarina
2010;2010/03;07.105.967/0001-87;GABRIELLA MINERACAO LTDA;ROD SC 447 KM 30;88860-000;RIO FIORITA;Siderópolis;Santa Catarina
2010;2010/04;05.770.149/0001-73;GABRIELLA REFRATARIOS LTDA;ROD JORGE LACERDA KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2010;2010/04;05.770.149/0001-73;GABRIELLA REFRATARIOS LTDA;ROD JORGE LACERDA KM 20;88805-350;VERDINHO;Criciúma;Santa Catarina
2012;2012/04;81.547.796/0001-07;GABRIELLY LOPES PEREIRA E CIA LTDA;RUA TTE ANTONIO JOAO, 1629;89200-000;BOM RETIRO;Joinville;Santa Catarina
2010;2010/05;01.093.501/0001-22;GABRY ELLA COLLECTION CONFECCLTDA EPP;RUA JOACABA,309;89221-340;SAGUACU;Joinville;Santa Catarina
2009;2009/06;08.899.645/0001-10;GABY BORDADOS_LTDA;ROD ANTONIO HEIL, 730 - SALA 10 - 2º PISO;88352-500;SANTA TEREZINHA;Brusque;Santa Catarina
2009;2009/03;02.659.207/0001-06;GADOTTI TRANSPORTES E TURISMO LTDA EPP;RUA RUA DR PEDRO ZIMMERMANN,7507;89068-001;ITOUP CENTRAL;Blumenau;Santa Catarina
2008;2008/07;06.865.236/0001-77;GAERTNER CONSTRUTORA LTDA;RUA SAO JOAQUIM OBRA AMPLIACAO SUPERMERC MARTENDAL;88504-010;CENTRO;Lages;Santa Catarina
2010;2010/09;01.004.509/0001-75;GAFERBRAS INDUSTRIAL LTDA EPP;RUA SANTA EDVIGES,272;89237-060;VILA NOVA;Joinville;Santa Catarina
2010;2010/12;10.839.717/0001-85;GAFH REPRESENTAÇÕES LTDA;RUA X;88802-260;CENTRO;Criciúma;Santa Catarina
2008;2008/10;08.294.459/0001-57;GAIEVSKI & ALMEIDA P.CONF.LTDA ME;AV.MAL DEODORO DA FONSECA, 819;89251-700;CENTRO;Jaraguá do Sul;Santa Catarina
2010;2010/06;01.287.841/0001-94;GAIJIN PRODUTOS ALIMENTICIOS LTDA ME;AV. SANTA CATARINA, 01 SALA F6;88339-005;DOS ESTADOS;Balneário Camboriú;Santa Catarina
2010;2010/07;85.134.344/0001-46;GALAXIE PRESTADORA DE SERVIçOS LTDA;RUA TIRADENTES 377;88501-230;CENTRO;Lages;Santa Catarina
2010;2010/07;04.555.831/0001-80;GALAXIE TRANSPORTES E SERVICOS LTDA;RUA TIRADENTES,377;88501-230;CENTRO;Lages;Santa Catarina
2010;2010/12;04.259.520/0001-74;GALBE PERFUMARIA E COSMéTICOS LTDA;RUA SAMUEL HEUSI, 234 SL 18, 2 ANDAR;88301-000;CENTRO;Itajaí;Santa Catarina
2010;2010/08;07.978.210/0001-06;GALDINO DISTRIBUIDORA DE ALIMENTOS LTDA;RUA IRACI MANOEL CAETANO, Nº 151;88806-400;CIDADE MINEIRA NOVA;Criciúma;Santa Catarina
2010;2010/07;76.340.207/0001-77;GALERA IND. PREMIOS INCENTIVOS LTDA-EPP;R SEN.PETRONIO PORTE,215;89219-575;DIST. INDUSTRIAL;Joinville;Santa Catarina
2008;2008/11;72.216.575/0001-57;GALERIA DOS TECIDOS LTDA EPP;AV MARTIN LUTHER 111 LOJA,2;89012-010;CENTRO;Blumenau;Santa Catarina
2010;2010/08;11.065.575/0001-09;GALETERIA AGUZZOLI & AGUZZOLI LTDA.;R WALTER MARQUARDT 630;89259-700;BARRA DO RIO MOLHA;Jaraguá do Sul;Santa Catarina
2011;2011/04;06.292.944/0001-66;GALETERIA BIT LTDA ME;RUA GOVERNADOR IVO DA SILVEIRA,2445, LJ 29;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina
2010;2010/12;09.130.752/0001-41;GALETERIA NONA ANASTACIA LTDA ME;RUA 3100,2983;88330-304;CENTRO;Balneário Camboriú;Santa Catarina
2008;2008/07;01.106.424/0002-89;GALETERIA TIO BRESSIANI LTDA;RUA CEL. ALBERTO SCHMIDT, 33;89560-000;CENTRO;Videira;Santa Catarina
2008;2008/10;78.639.168/0001-39;GALFIX GALVANIZACAO LTDA ME;RUA SAMUEL MORSE,1181;89055-000;FORTALEZA;Blumenau;Santa Catarina
2010;2010/11;09.357.660/0001-07;GALIA RESTAURANTE LTDA;AVENIDA RUBENS DE ARRUDA RAMOS,2034;88015-701;CENTRO;Florianópolis;Santa Catarina
2011;2011/03;09.357.660/0001-07;GALIA RESTAURANTE LTDA;AVENIDA RUBENS DE ARRUDA RAMOS,2034;88015-701;CENTRO;Florianópolis;Santa Catarina
2010;2010/09;05.271.562/0001-93;GALON PRE-MOLDADOS LTDA - EPP;RUA TENENTE ANTONIO JOAO,3607;89223-100;JARDIM SOFIA;Joinville;Santa Catarina
2011;2011/10;08.013.573/0001-61;GALPAO DAS PIZZAS R LIMITADA;RUA ORESTES GUIMARAES,945;89204-060;AMERICA;Joinville;Santa Catarina
2010;2010/06;00.549.573/0001-79;GALSOUBER LTDA EPP;RUA PEDRO FANTONI,1111;88355-390;BATEIAS;Brusque;Santa Catarina
2009;2009/03;01.451.153/0001-18;GALTIM TRATAMENTOS DE SUPERFICIE LTDA;RUA RIO GRANDE, 783;89120-000;ESTADOS;Timbó;Santa Catarina
2012;2012/04;11.859.889/0001-83;GALVANIZACAO BERETTA LTDA;ROD BR 101 KM 70,10370;89245-000;RAINHA;Araquari;Santa Catarina
2009;2009/10;00.956.728/0001-91;GALVANIZACAO CHAPECO LTDA;RUA ROD SC 480 CHAPECO GOIO EN,971;89803-360;PALMITAL;Chapecó;Santa Catarina
2011;2011/02;00.956.728/0001-91;GALVANIZACAO CHAPECO LTDA;RUA ROD SC 480 CHAPECO GOIO EN,971;89803-360;PALMITAL;Chapecó;Santa Catarina
2008;2008/06;00.956.728/0001-91;GALVANIZAçãO CHAPECó LTDA;RODOVIA SC 480 971E;89815-280;PALMITAL;Chapecó;Santa Catarina
2010;2010/06;08.174.736/0001-98;GALVANIZADORA BRUSQUE LTDA;RUA PEDRO FANTONI,1078;88355-390;BATEAS;Brusque;Santa Catarina
2011;2011/05;06.300.521/0001-40;GALVANO GALVANOPLASTIA LTDA EPP;RUA BENTO TORQUATO DA ROCHA, 435;89237-200;VILA NOVA;Joinville;Santa Catarina
2012;2012/05;06.300.521/0001-40;GALVANO GALVANOPLASTIA LTDA EPP;RUA BENTO TORQUATO DA ROCHA, 435 GALPãO 02;89237-200;VILA NOVA;Joinville;Santa Catarina
2010;2010/11;05.433.186/0001-96;GALVANO PECAS TRAT.DE SUPERFIC.LTDA;RUA FRANCISCO REIS, 755;88311-710;CORDEIROS;Itajaí;Santa Catarina
